id;name;description;purchase_price;sale_price;size;color;stock;image;image_content_type
1;Generic Steel Tuna;website calculating;57374;81236;S;Azul;Computer reboot reboot;../fake-data/blob/hipster.png;image/png
2;magenta Track;actuating THX;8294;93728;M;Negro;Michigan Incredible Infrastructure;../fake-data/blob/hipster.png;image/png
3;Internal compressing;withdrawal Bedfordshire;4189;60561;S;Blanco;Bike;../fake-data/blob/hipster.png;image/png
4;digital;Oklahoma;95238;37638;XS;Azul;Identity Vermont indigo;../fake-data/blob/hipster.png;image/png
5;JSON;New Mexico Implementation Steel;54741;15779;L;Blanco;CSS Liaison;../fake-data/blob/hipster.png;image/png
6;Keyboard;Central Ergonomic Concrete Ball;88292;71810;XS;Cafe;multi-byte online Forward;../fake-data/blob/hipster.png;image/png
7;open-source;Computer efficient Sleek Soft Sausages;8835;44109;L;Cafe;Harbors backing up;../fake-data/blob/hipster.png;image/png
8;Massachusetts Checking Account Gorgeous Fresh Ball;Unbranded Steel Computer;64809;12655;XXL;Blanco;National;../fake-data/blob/hipster.png;image/png
9;Operations Associate;Chicken;67286;61811;XS;Azul;Martinique Industrial Rustic;../fake-data/blob/hipster.png;image/png
10;magenta;transitional;33918;80631;M;Gris;Square Home Loan Account Practical Frozen Shirt;../fake-data/blob/hipster.png;image/png
