id;number_product;product;description;quantity;total_purchase
1;calculating Response;cohesive Sleek Fresh Shirt redefine;Director Mozambique;93175;72639
2;invoice;quantify parse;Cheese;81885;66216
3;Designer Rustic Cotton Car;copying high-level Computers;Iowa Auto Loan Account;61030;28952
4;Cheese;Metal;hard drive synthesizing benchmark;52929;71867
5;paradigm reciprocal Wyoming;PCI parse;Shores Money Market Account local;72648;653
6;Car Motorway;District Branding;Yemeni Rial Maine;22283;13198
7;Maine Iceland Krona;Parks JBOD Cotton;Philippine Peso;99233;97501
8;Berkshire driver;Persistent;parse;41349;48265
9;application;multi-byte;Granite;82306;70995
10;next generation;Drives;silver auxiliary Generic Granite Sausages;44296;99744
